SquareFootage,BackyardSpace,NumBedrooms,AgeOfHome,SchoolRating,RenovationQuality,Price
645.52,102.29,1,66.46,6.4,3.14,103375.7614
1420.92,457.31,4,18.35,6.23,2.3,316030.1699
1717.65,431.28,3,9.17,10.0,6.05,333690.06
706.56,647.51,4,103.24,7.33,2.78,122305.3568
1038.32,28.15,2,91.55,6.04,5.34,351798.8598
1701.95,508.18,4,51.61,6.74,6.56,676922.4903
1276.24,359.12,3,42.96,8.48,6.12,277316.3525
1117.43,546.97,2,42.19,7.09,3.7,188922.9338
550.0,678.54,3,74.67,6.18,1.06,191607.2181
714.11,461.22,3,115.88,4.41,1.6,180729.6457
739.26,373.41,2,83.29,3.37,1.51,111788.6598
550.0,599.79,3,25.0,7.69,9.34,198941.9264
733.87,578.69,1,8.42,1.77,5.97,239464.1044
920.51,582.43,3,46.04,4.63,2.51,222228.9304
550.0,1114.88,2,36.54,4.18,2.66,252241.3202
550.0,421.49,3,67.29,6.46,5.77,155707.1319
721.17,209.36,4,11.6,5.39,3.73,160019.0332
663.23,133.15,3,9.44,8.05,6.14,421588.8578
701.73,722.35,3,39.1,6.36,4.03,152376.5716
1099.16,1041.06,3,22.09,6.74,4.15,210733.5129
920.23,628.62,2,13.11,5.81,6.01,105041.6445
1131.43,227.45,4,56.62,7.86,5.61,216972.8449
957.8,531.17,4,104.45,7.89,5.16,385041.5546
1834.27,442.13,4,26.65,7.01,5.3,424385.0666
1737.13,506.46,4,66.21,5.96,3.77,335869.6815
1092.09,211.16,3,14.13,6.47,6.33,430556.8472
1037.35,934.92,2,13.84,5.76,4.63,153297.265
709.99,990.54,4,8.96,6.29,5.3,312456.8833
1923.32,664.17,3,69.27,5.55,7.6,506890.4558
699.29,319.61,4,2.53,7.97,2.7,390605.9215
896.81,501.62,4,36.43,8.49,3.55,430310.8257
1550.36,5.86,4,40.34,7.86,8.64,769797.5161
680.49,500.52,3,0.32,5.03,2.77,256978.3221
747.49,1166.44,3,21.61,7.83,5.32,205562.6791
988.48,597.16,4,57.42,4.51,4.09,318949.998
826.35,667.2,2,52.03,6.84,4.99,167546.7668
1309.65,779.06,3,36.77,8.5,4.89,274558.259
756.5,94.81,2,87.91,7.0,5.71,122660.0682
1460.44,169.38,4,61.51,10.0,8.99,654180.6485
956.19,620.13,4,70.15,7.24,4.81,121486.5873
564.94,805.94,4,75.26,6.3,5.98,279893.0825
1877.32,419.72,4,7.47,7.77,4.08,410816.4987
780.23,47.61,3,37.34,5.77,5.87,490495.3436
934.62,474.59,4,71.16,9.68,5.27,399436.5842
1004.05,412.04,2,14.03,6.11,4.07,206029.5987
550.0,1125.79,4,7.17,7.01,1.39,222198.5451
1354.92,809.67,2,34.37,4.64,5.09,273015.0238
1151.07,496.72,4,26.01,8.01,6.21,248308.2316
