SquareFootage,NumBedrooms,SchoolRating,RenovationQuality,IsLuxury
894.95,2,3.33,0.57,0
566.8,4,8.89,4.22,1
550.0,3,2.52,0.61,0
1011.74,3,7.06,7.69,0
1696.32,5,10.0,8.8,1
1447.91,3,6.17,5.5,1
550.0,4,10.0,7.29,1
700.9,3,6.09,5.08,0
1404.58,3,6.5,5.88,0
550.0,4,2.93,1.94,0
1547.04,3,5.21,5.0,1
615.55,4,6.94,4.35,0
1204.28,3,8.32,3.32,1
550.0,2,9.77,9.14,1
880.52,3,6.97,4.0,0
1639.62,2,6.85,4.34,1
550.0,3,3.51,3.21,0
550.0,2,7.38,2.43,0
2592.94,3,5.21,7.87,1
550.0,2,5.73,3.05,0
550.0,5,5.36,5.59,0
1584.58,5,7.45,5.85,1
1486.55,4,8.14,6.45,0
1065.79,4,7.35,8.39,1
1104.41,3,6.99,5.03,0
1356.4,4,7.45,6.82,1
550.0,5,7.71,5.13,0
956.19,4,7.24,4.81,0
550.0,3,6.46,2.07,0
924.97,2,4.25,4.27,0
768.26,2,6.25,1.6,0
1384.52,5,8.84,6.76,1
1221.31,3,8.97,7.5,1
1900.51,3,9.95,5.98,1
550.0,2,6.79,7.25,0
550.0,3,5.76,2.29,0
606.37,3,9.12,6.96,1
1249.13,5,8.28,7.26,1
550.0,2,3.35,4.02,0
1345.99,3,7.3,7.14,1
1377.07,4,9.08,5.3,1
550.0,2,5.26,3.41,0
979.19,6,6.98,4.46,1
976.75,4,3.24,5.49,1
1371.0,3,7.06,5.65,1
550.0,4,9.06,5.22,1
1545.84,2,3.05,3.78,0
1746.4,3,9.08,7.22,1
836.16,3,7.45,7.22,1
1115.03,3,5.75,4.02,0
1159.75,3,7.61,4.96,0
1471.13,4,10.0,5.94,1
550.0,5,7.82,1.68,1
762.18,4,6.33,5.84,1
991.12,4,6.42,5.13,0
550.0,5,6.94,7.0,1
1094.17,2,6.3,5.15,0
1198.92,2,2.47,3.18,0
1159.68,3,6.22,6.89,0
984.42,4,7.93,3.87,0
1325.42,3,7.57,3.15,1
1228.73,5,7.32,4.78,1
550.0,4,6.56,4.85,0
1366.15,4,6.4,6.27,1
550.0,4,4.19,4.12,1
1865.22,3,10.0,8.44,1
1171.54,4,9.08,6.53,1
2067.52,4,6.96,7.25,1
562.23,3,7.55,4.3,1
1554.26,1,4.79,4.36,0
1360.01,2,4.89,3.75,1
1008.98,2,7.73,3.42,0
1152.86,4,7.03,6.48,1
860.5,3,6.39,7.39,1
550.0,3,4.68,2.79,0
1065.62,4,5.1,5.09,0
986.1,3,7.46,6.02,1
1169.45,3,7.79,1.49,1
1435.02,2,4.33,5.22,0
550.0,4,7.36,2.78,0
1154.99,3,7.22,5.38,0
1068.77,3,8.0,7.77,1
550.0,1,3.24,0.49,1
550.0,3,5.93,3.36,0
1267.94,5,8.24,7.26,1
1241.4,3,6.65,4.98,1
836.34,5,9.17,7.6,1
1423.13,4,10.0,5.93,1
554.8,2,6.66,2.02,0
550.0,4,8.95,6.56,0
1434.69,3,6.08,3.74,0
550.0,2,4.52,1.07,1
947.06,3,8.17,6.13,0
1326.33,2,6.59,5.83,0
1170.32,3,5.75,3.54,0
977.85,1,4.25,3.8,0
550.0,4,5.19,3.32,0
550.0,3,5.89,1.65,1
1039.35,3,7.07,3.39,1
1209.09,5,6.71,5.06,1
681.71,4,4.69,3.41,1
1942.55,3,5.33,6.71,1
554.58,2,7.87,3.46,0
1745.79,1,7.3,6.4,1
812.41,3,7.19,3.32,0
1217.26,4,6.21,3.46,1
1941.73,2,6.01,4.18,0
550.0,3,6.41,6.42,0
1658.09,2,7.48,5.64,1
1159.83,2,7.89,6.29,0
1573.68,2,8.39,5.11,1
1866.18,3,8.13,6.42,1
1199.68,3,6.07,6.24,1
1015.91,2,5.57,5.02,1
1604.98,4,5.58,3.43,1
1083.87,2,9.39,7.3,0
933.56,2,3.15,1.46,0
968.63,3,6.59,4.79,0
1823.82,3,7.63,8.61,1
746.94,3,8.5,6.4,1
1102.93,4,8.65,5.88,1
1550.51,1,5.9,5.05,0
890.77,4,8.95,5.29,0
720.92,2,6.35,5.09,0
1411.04,5,5.23,8.06,1
1154.96,1,9.5,4.49,0
550.0,5,8.9,5.61,0
889.74,4,7.89,5.28,1
608.41,2,4.59,3.41,0
1382.35,2,5.16,2.39,0
611.64,2,9.22,3.5,0
550.0,2,3.62,2.36,0
788.01,3,5.52,2.15,0
550.0,1,3.1,2.56,0
760.31,2,6.05,1.91,0
825.1,2,6.68,6.82,0
1842.17,4,10.0,5.76,1
1723.02,3,7.01,5.0,0
1380.15,2,7.07,5.77,1
1030.61,2,5.54,5.05,0
819.71,2,8.96,5.88,0
911.89,2,5.61,3.49,1
1162.05,4,7.3,5.57,1
1852.27,3,10.0,8.14,1
757.67,3,10.0,7.54,0
854.32,3,4.98,2.35,0
903.59,5,8.28,8.24,0
1034.3,3,8.98,5.33,0
1115.74,2,8.96,6.27,1
796.45,3,7.6,7.89,1
550.0,4,6.41,5.05,1
550.0,5,6.79,1.93,0
756.78,4,6.79,4.74,0
1753.46,4,9.12,8.52,0
1151.07,4,8.01,6.21,0
550.0,4,10.0,5.59,0
728.24,3,3.91,4.18,0
1310.12,3,9.58,6.4,1
550.0,3,6.87,1.41,0
1136.32,4,10.0,4.46,1
1195.22,4,5.8,5.34,1
792.58,4,4.94,3.55,0
1089.99,5,5.74,9.57,1
1139.91,3,2.73,0.98,1
1574.12,3,9.33,8.58,1
1722.32,5,10.0,6.85,1
965.33,3,7.84,6.75,1
550.0,4,7.35,4.15,0
1032.22,4,8.48,3.78,1
1661.48,3,8.55,2.7,0
576.65,3,3.78,1.89,0
1637.03,4,8.53,2.87,1
550.0,4,7.2,4.11,1
564.0,4,7.45,6.04,0
550.0,2,9.72,6.01,0
1273.93,4,7.07,5.13,1
550.0,4,6.54,5.69,0
986.66,2,5.94,3.46,0
