SquareFootage,NumBedrooms,SchoolRating,RenovationQuality,IsLuxury
1158.48,3,4.65,3.19,0
1290.08,3,6.71,5.49,0
1169.91,5,10.0,3.97,1
1077.72,3,10.0,9.29,1
1771.08,2,7.69,7.5,1
966.69,4,6.26,4.99,0
550.0,3,3.57,1.39,0
1345.5,3,7.25,6.72,1
959.11,2,6.4,2.33,0
1373.24,1,6.72,2.22,0
1476.34,4,9.93,7.68,1
550.0,3,4.94,6.17,0
1327.95,4,10.0,10.0,1
583.36,3,5.08,2.42,0
1041.61,5,7.85,6.2,0
965.86,1,2.94,3.56,0
998.05,5,8.38,6.5,1
1587.62,1,9.17,5.31,0
607.09,1,2.6,4.14,0
550.0,5,6.17,4.85,1
1417.85,5,8.69,8.74,1
941.81,2,7.08,4.45,0
1765.85,3,8.83,4.43,1
1022.97,3,7.58,6.03,1
1461.93,3,4.37,2.28,0
550.0,4,6.63,2.76,1
876.31,3,7.42,6.58,0
1565.11,2,6.98,8.62,1
1140.39,3,5.77,1.3,0
550.0,2,4.21,1.17,0
615.7,2,8.5,3.68,0
818.79,5,9.72,8.61,0
1442.25,3,7.4,6.23,1
1281.8,3,7.34,8.09,1
556.22,4,9.33,3.74,0
833.98,1,4.49,5.26,0
1392.66,3,5.15,3.8,1
550.0,4,7.96,4.03,1
1201.61,1,5.19,5.09,0
659.51,1,6.68,3.77,0
828.57,3,9.46,5.59,0
1346.49,3,10.0,5.9,1
1305.51,4,9.15,4.14,1
550.0,4,6.5,3.69,0
550.0,3,6.57,2.12,0
1074.52,3,6.5,2.04,0
550.0,4,6.61,4.97,0
2206.64,3,9.32,9.87,0
550.0,3,6.44,5.57,0
949.75,1,3.19,1.83,0
1325.64,3,5.55,2.06,1
1285.27,3,6.06,4.45,0
974.78,2,6.12,5.32,1
581.23,3,8.6,1.01,0
1306.01,4,6.33,5.23,1
818.02,3,7.2,6.46,0
1477.56,4,7.5,5.61,1
550.0,1,5.34,1.93,0
1104.28,4,5.27,4.99,1
1740.6,5,8.54,8.38,1
1212.51,1,4.79,4.3,1
991.61,3,6.92,3.39,0
662.79,2,7.45,6.12,0
1012.32,4,8.98,4.96,1
1001.99,2,9.0,4.6,1
897.88,5,10.0,5.25,1
1029.28,4,9.29,8.59,1
1250.32,4,5.59,5.81,1
976.35,3,7.88,3.76,0
571.32,1,5.28,1.01,0
1379.86,3,8.59,5.94,1
1285.44,4,7.47,6.72,0
1427.16,3,10.0,8.77,0
1004.4,3,7.36,5.96,0
1562.16,4,6.14,6.21,1
1324.19,4,8.52,5.55,0
1692.33,2,9.25,5.76,1
550.0,3,7.16,5.38,0
886.37,4,9.02,6.42,0
1413.7,3,6.3,4.34,0
1457.95,1,4.2,4.17,1
1613.59,3,6.33,7.32,0
965.59,2,8.57,4.12,0
1196.62,2,5.56,6.89,0
1023.19,2,8.63,7.71,1
1146.53,4,8.67,7.76,1
839.39,3,6.27,3.93,0
1196.5,3,9.06,10.0,1
1125.23,4,8.43,4.91,1
550.0,3,3.84,2.79,1
945.19,4,6.99,5.1,1
862.03,4,8.46,6.64,0
634.61,5,7.07,4.49,1
1227.28,3,7.82,6.34,1
1914.87,4,9.24,6.72,1
1014.33,2,4.97,4.18,0
937.22,2,3.43,2.02,0
918.9,3,4.63,3.56,0
1115.77,3,6.03,2.69,0
783.68,2,4.85,1.52,0
658.32,3,7.43,6.1,1
2119.1,3,10.0,7.64,1
713.4,3,4.96,5.23,0
550.0,4,7.59,2.93,1
976.05,5,5.23,4.99,1
1464.35,4,7.54,6.43,1
550.0,4,6.99,4.85,0
550.0,2,3.98,1.71,0
1028.15,3,9.55,9.42,1
1538.8,2,5.27,5.36,1
1010.25,3,8.51,3.83,0
1001.08,3,6.47,4.81,0
1328.23,4,7.75,5.43,1
1803.96,5,9.52,5.34,0
899.55,5,8.52,4.73,1
1345.36,4,10.0,8.11,1
974.62,3,9.53,8.12,1
990.97,3,4.36,4.62,0
1564.88,3,8.1,2.09,1
