YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2025,3,1,6,ABQ,MDW,0600,0554,-6.00,0945,0940,-5.00
2025,3,1,6,ABQ,ORD,1231,1228,-3.00,1625,1622,-3.00
2025,3,1,6,ALB,MDW,0655,0844,109.00,0825,0943,78.00
2025,3,1,6,ALB,ORD,0609,0620,11.00,0757,0746,-11.00
2025,3,1,6,ALB,ORD,1630,1627,-3.00,1825,1804,-21.00
2025,3,1,6,ASE,ORD,0800,0804,4.00,1200,1210,10.00
2025,3,1,6,ASE,ORD,1146,1136,-10.00,1542,1516,-26.00
2025,3,1,6,ASE,ORD,1230,1230,0.00,1631,1619,-12.00
2025,3,1,6,ASE,ORD,1348,1339,-9.00,1745,1728,-17.00
2025,3,1,6,ASE,ORD,1625,1710,45.00,2023,2038,15.00
2025,3,1,6,ATL,MDW,0645,0644,-1.00,0740,0732,-8.00
2025,3,1,6,ATL,MDW,0920,0912,-8.00,1016,1007,-9.00
2025,3,1,6,ATL,MDW,1035,1032,-3.00,1130,1125,-5.00
2025,3,1,6,ATL,MDW,1325,1336,11.00,1420,1423,3.00
2025,3,1,6,ATL,MDW,1400,1356,-4.00,1453,1445,-8.00
2025,3,1,6,ATL,MDW,1535,1542,7.00,1630,1637,7.00
2025,3,1,6,ATL,MDW,2045,2039,-6.00,2140,2127,-13.00
2025,3,1,6,ATL,MDW,2058,2054,-4.00,2204,2146,-18.00
2025,3,1,6,ATL,MDW,2125,2140,15.00,2220,2225,5.00
2025,3,1,6,ATL,ORD,0600,0553,-7.00,0718,0652,-26.00
2025,3,1,6,ATL,ORD,0647,0638,-9.00,0805,0802,-3.00
2025,3,1,6,ATL,ORD,0735,0728,-7.00,0842,0832,-10.00
2025,3,1,6,ATL,ORD,0835,0836,1.00,0942,0935,-7.00
2025,3,1,6,ATL,ORD,1240,1234,-6.00,1342,1334,-8.00
2025,3,1,6,ATL,ORD,1445,1445,0.00,1543,1543,0.00
2025,3,1,6,ATL,ORD,1512,1700,108.00,1631,1852,141.00
2025,3,1,6,ATL,ORD,1536,1532,-4.00,1652,1650,-2.00
2025,3,1,6,ATL,ORD,1740,1750,10.00,1847,1904,17.00
2025,3,1,6,ATL,ORD,1824,1817,-7.00,1934,1926,-8.00
2025,3,1,6,ATL,ORD,1905,1905,0.00,2024,2016,-8.00
2025,3,1,6,ATL,ORD,2249,2246,-3.00,2349,2339,-10.00
2025,3,1,6,ATW,ORD,0630,0620,-10.00,0757,0719,-38.00
2025,3,1,6,ATW,ORD,0815,0814,-1.00,0942,0927,-15.00
2025,3,1,6,ATW,ORD,1250,1259,9.00,1420,1412,-8.00
2025,3,1,6,ATW,ORD,1541,1533,-8.00,1645,1654,9.00
2025,3,1,6,ATW,ORD,1730,1722,-8.00,1849,1854,5.00
2025,3,1,6,AUS,MDW,0635,0627,-8.00,0905,0855,-10.00
2025,3,1,6,AUS,MDW,1420,1411,-9.00,1650,1636,-14.00
2025,3,1,6,AUS,ORD,0609,0600,-9.00,0844,0853,9.00
2025,3,1,6,AUS,ORD,0700,0657,-3.00,0937,0943,6.00
2025,3,1,6,AUS,ORD,0700,0705,5.00,0946,0951,5.00
2025,3,1,6,AUS,ORD,0920,0903,-17.00,1200,1149,-11.00
2025,3,1,6,AUS,ORD,1339,1329,-10.00,1626,1608,-18.00
2025,3,1,6,AUS,ORD,1401,1401,0.00,1638,1647,9.00
2025,3,1,6,AVL,ORD,0654,0651,-3.00,0805,0755,-10.00
2025,3,1,6,AVL,ORD,1707,1658,-9.00,1810,1815,5.00
2025,3,1,6,AVP,ORD,0749,0744,-5.00,0912,0851,-21.00
